"source","lastmodified","id","hanged_no","SP_pos","wire_no","quantity","start_strip","start_tinning","length","end_tinning","end_strip","allowance","soldering","from_seal_id","from_tip_id","item_id","operation_id","to_seal_id","to_tip_id","qr","from_connector","from_pin","sygnal","to_connector","to_pin"
,2025-08-02 20:07:58.414 +0300,6,A4,27,Б-3-4,1,10,true,1550,false,6,0,true,,,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80004",,,,,
,2025-08-02 20:13:31.406 +0300,9,B2,31,Ч-5-2,1,10,true,1750,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80007",,,,,
,2025-08-02 20:14:29.835 +0300,10,B3,31,Ч-5-4,1,10,true,1700,false,6,0,true,,,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80007",,,,,
,2025-08-02 20:16:54.242 +0300,12,B5,,Б-3-1,1,10,true,20690,true,10,0,true,,,"Провод ПВАМ – 1,0-Б ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80008",,,,,
,2025-08-02 20:26:37.452 +0300,13,C1,35,Ж-1-1,1,10,true,22290,false,5,0,true,,,"Провод ПВАМ – 1,0-Ж ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80009",,,,,
,2025-08-02 20:27:36.919 +0300,14,C2,35,З-4-1,1,10,true,22290,false,5,0,true,,,"Провод ПВАМ – 1,0-Ж ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80009",,,,,
,2025-08-02 20:30:25.345 +0300,15,C3,39,К-6-1,1,10,true,20490,true,10,0,true,,,"Провод ПВАМ – 1,0-К ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,Уплотнитель провода 281934-2,Контакт  - гнездо – 282110-1,"80009",,,,,
,2025-08-02 20:37:15.550 +0300,16,C4,41,Ч-5-1,1,10,true,20540,true,10,0,true,,,"Провод ПВАМ – 1,0-Ч ТУ 16.К05-015-2002",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"80001",,,,,
,2025-08-02 20:51:08.509 +0300,20,D4,47,"47.1",1,,false,20760,false,,0,false,,,Трубка гофрированная 40910В ТУ 2247-002-47022248-2008,ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000C",,,,,
,2025-08-02 20:53:09.178 +0300,22,E2,51,"51.1",1,,false,30,false,,0,false,,,"Трубка термоусадочная ТТК-(4:1)-16/4, черная (КВТ) ТУ 2247-021-97284872-2006",ПМА-4000.10.200 Жгут - Нарезка и зачистка,,,"8000E",,,,,
