"name","description","category","subcategory","cost","owner_id","lft","rght","lvl","source","lastmodified","type","volume","weight","periodofcover","uom","adi","cv2","demand_pattern","outlier_1b","outlier_6b","outlier_12b","latedemandcount","latedemandquantity","latedemandvalue","unplanneddemandcount","unplanneddemandquantity","unplanneddemandvalue","_erpcode","_qrcode","_barcode"
Адаптер 7807490,,Адаптеры Superseal для гофрированной трубы,,,,9,10,0,,2025-10-03 10:19:53.507 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00023931,"60002",""
Адаптер 1011-263-0405,,,,,,1,2,0,,2025-10-29 15:31:37.048 +0300,,,,,,,,,,,,,,,,,,,,
Адаптер 1011-265-0405,,,,,,3,4,0,,2025-10-29 14:57:08.835 +0300,,,,,,,,,,,,,,,,,,,,
Адаптер 7807128 (NW7.5),,Адаптеры Superseal для гофрированной трубы,,,,5,6,0,,2025-10-20 15:44:22.699 +0300,,,,,,,,,,,,,,,,,,,,
Адаптер 7807192 (NW4.5),,Адаптеры Superseal для гофрированной трубы,,,,7,8,0,,2025-10-03 10:19:49.362 +0300,,,,,шт,,,,,,,,,,,,,"00-00202134","60001",""
Адаптер 7807491 (NW10-NW8.5-NW7.5),,,,,,11,12,0,,2025-10-29 11:03:42.701 +0300,,,,,,,,,,,,,,,,,,,,
Адаптер 7807492,,Адаптеры Superseal для гофрированной трубы,,,,13,14,0,,2025-10-03 10:20:19.084 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00023928,"6000E",""
Адаптер PA66 AMP4-SS 7807039,,Адаптеры Superseal для гофрированной трубы,,,,17,18,0,,2025-10-03 10:20:21.411 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00024201,"6000F",""
БВ-061.10.030А Жгут,,Готовая продукция,,2955.00000000,БВ-061.10.000 Коммуникации электрические,20,21,1,,2025-10-09 11:29:30.732 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00022946,"60006","2000068450074"
БВ-061.10.000 Коммуникации электрические,,Готовая продукция,,,,19,22,0,,2025-10-03 20:41:15.335 +0300,,,,,шт,,,,,,,,,,,,,"00-00033114","6000r","2000068450012"
Вилка 2РМДТ 24КПН10Ш5В1В АШДК.434410.062ТУ,,Разьемы цилиндрические,,,,27,28,0,,2025-10-28 15:04:25.613 +0300,,,,,,,,,,,,,,,,,,,,
Защелка блокирующая W4S,,,,,,57,58,0,,2025-10-29 15:33:58.141 +0300,,,,,,,,,,,,,,,,,,,,
Безконтактный выключатель (нормально замкнутый) ВБИ-М18-44У-2112-Л,,Датчики индуктивные,,,,23,24,0,,2025-10-20 15:22:56.207 +0300,,,,,шт,,,,,,,,,,,,,"00-00133230","6000x",""
Безконтактный выключатель (нормально разомкнутый) ВБИ-М18-44У-2111-Л,,Датчики индуктивные,,,,25,26,0,,2025-10-03 22:10:28.443 +0300,,,,,шт,,,,,,,,,,,,,"00-00133231","",""
Вилка ПС 300А-150 ГОСТ 92000,,Разъемы цилиндрические,,,,31,32,0,,2025-10-03 10:20:46.660 +0300,,,,,шт,,,,,,,,,,,,,"00-00258326","6000Y",""
ДХ-1080.10.010А Жгут,,Готовая продукция,,2750.00000000,ДХ-1080.10.000А Коммуникации электрические,54,55,1,,2025-10-09 09:14:44.288 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00022971,"6000v","2000068450098"
ДХ-1080.10.000А Коммуникации электрические,,Готовая продукция,,,,53,56,0,,2025-10-20 15:45:17.174 +0300,,,,,шт,,,,,,,,,,,,,"00-00141771","6000m","2000068450036"
Защелка блокрующая W4P,,,,,,59,60,0,,2025-10-29 15:01:55.049 +0300,,,,,,,,,,,,,,,,,,,,
Колодка гнездовая 282087-1,,,,,,61,62,0,,2025-10-29 11:04:50.581 +0300,,,,,,,,,,,,,,,,,,,,
Колодка гнездовая 602604 ОСТ 37.003.032-88,,Колодки гнездовые по ОСТ 37.003.032-88,,,,65,66,0,,2025-10-03 10:23:16.559 +0300,,,,,шт,,,,,,,,,,,,,"00-00085928","6000M",""
Колодка гнездовая 602606 ОСТ 37.003.032-88,,Колодки гнездовые по ОСТ 37.003.032-88,,,,67,68,0,,2025-10-03 10:23:30.166 +0300,,,,,шт,,,,,,,,,,,,,"00-00133239","6000N",""
Колодка гнездовая DT06-4S-C015,,,,,,69,70,0,,2025-10-29 15:36:58.694 +0300,,,,,,,,,,,,,,,,,,,,
Колодка гнездовая SS 282088-1,,Корпуса разъёмов Superseal,,,,71,72,0,,2025-10-03 10:23:42.062 +0300,,,,,шт,,,,,,,,,,,,,"00-00152703","6000O",""
Колодка штыревая 282104-1,,,,,,73,74,0,,2025-10-21 16:45:30.000 +0300,,,,,,,,,,,,,,,,,,,,
Колодка штыревая 502606 ОСТ 37.003.032-88,,Колодки штыревые по ОСТ 37.003.032-88,,,,75,76,0,,2025-10-03 10:23:51.779 +0300,,,,,шт,,,,,,,,,,,,,"00-00133234","6000P",""
Колодка штыревая DT04-4P-C015,,,,,,77,78,0,,2025-10-29 15:05:54.791 +0300,,,,,,,,,,,,,,,,,,,,
Колодка штырьевая 502602 ОСТ 37.003.032-88,,Колодки штыревые по ОСТ 37.003.032-88,,,,79,80,0,,2025-10-03 10:24:03.567 +0300,,,,,шт,,,,,,,,,,,,,"00-00204183","6000Q",""
Контакт  - гнездо – 282110-1,,Гнездовой контакт Superseal,,,,81,82,0,,2025-10-30 16:01:35.108 +0300,,,,,шт,,,,,,,,,,,,,"00-00118096","6000R",""
Контакт 282110-1,,Гнездовой контакт Superseal,,,,83,84,0,,2025-10-03 10:24:23.497 +0300,,,,,шт,,,,,,,,,,,,,"00-00213785","6000S",""
Контакт гнездовой 202612 -11 ОСТ 37.003.032-88,,,,,,87,88,0,,2025-10-29 09:58:39.754 +0300,,,,,,,,,,,,,,,,,,,,
Контакт гнездовой 202613-11 ОСТ 37.003.032-88,,,,,,89,90,0,,2025-10-29 09:23:01.173 +0300,,,,,,,,,,,,,,,,,,,,
Контакт гнездовой 282110-1,,,,,,91,92,0,,2025-10-29 10:33:46.753 +0300,,,,,,,,,,,,,,,,,,,,
Контакт штыревой 103612-11 ОСТ 37.003.032-88,,Контакт штыревой,,,,93,94,0,,2025-10-28 15:48:04.840 +0300,,,,,,,,,,,,,,,,,,,,
Контакт штыревой 282109-1,,,,,,97,98,0,,2025-10-21 16:45:30.010 +0300,,,,,,,,,,,,,,,,,,,,
Контакт штыревой 282465-1,,,,,,99,100,0,,2025-10-21 16:45:30.015 +0300,,,,,,,,,,,,,,,,,,,,
Корпус разъёма гнездовой 2 конт. 282080-1,,Корпуса разъёмов Superseal,,,,101,102,0,,2025-10-03 10:25:21.975 +0300,,,,,шт,,,,,,,,,,,,,"00-00152726","6000T",""
Корпус разъёма гнездовой 5 кон. 282089-1,,Корпуса разъёмов Superseal,,,,103,104,0,,2025-10-03 10:25:39.422 +0300,,,,,шт,,,,,,,,,,,,,"00-00001812","6000U",""
Корпус разъёма штырьевой 5 кон. 282107-1,,Корпуса разъёмов Superseal,,,,105,106,0,,2025-10-03 10:25:48.212 +0300,,,,,шт,,,,,,,,,,,,,"00-00001808","6000V",""
"Лента ПВХ 15*0,2, черная ГОСТ 16214-86",,,,,,107,108,0,,2025-10-29 08:47:26.812 +0300,,,,,,,,,,,,,,,,,,,,
МД-800.10.040Б Жгут,,Готовая продукция,,4000.00000000,,109,110,0,,2025-10-09 09:14:58.116 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00023883,"6000q","2000068450043"
Наконечник 45 7373 8528 ОСТ 37.003.040-81,,Наконечники проводов по ОСТ 37.003.040-81,,,,111,112,0,,2025-10-21 16:45:30.018 +0300,,,,,шт,,,,,,,,,,,,,"00-00298508","60004",""
Наконечник 45 7373 8529 ОСТ 37.003.040-81,,Наконечники проводов по ОСТ 37.003.040-81,,,,113,114,0,,2025-10-21 16:45:30.022 +0300,,,,,шт,,,,,,,,,,,,,"00-00070960","60003",""
ОП-3200-24.01.11.210В Жгут А,,Готовая продукция,,,,117,118,0,,2025-10-21 16:16:43.059 +0300,,,,,,,,,,,,,,,,,,,,
ПМА-4000.10.200 Жгут,,Готовая продукция,,4000.00000000,ПМА-4000.10.000A-01 Коммуникации электрические,120,121,1,,2025-10-09 09:06:57.140 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00022960,"6000t","2000068450067"
ПМА-4000.10.000A-01 Коммуникации электрические,,Готовая продукция,,,,119,122,0,,2025-10-05 22:05:06.734 +0300,,,,,шт,,,,,,,,,,,,,"00-00194098","6000s","2000068450005"
ПМА-4000.10.010 Жгут А,,Готовая продукция,,1485.00000000,ПМА-5000.14.10.000 Коммуникации электрические,124,125,1,,2025-10-20 15:24:19.978 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00022953,"6000w","2000068450104"
ПМА 4000.10.030 Жгут фонарей,,Готовая продукция,,2985.00000000,ПМА-5000.14.10.000 Коммуникации электрические,126,127,1,,2025-10-05 22:06:58.901 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00022944,"",""
ПМА-5000.14.10.000 Коммуникации электрические,,Готовая продукция,,,,123,128,0,,2025-10-05 22:05:01.184 +0300,,,,,шт,,,,,,,,,,,,,"00-00150647","6000p","2000068450050"
ППР-150.04.00.340В Кабель фонарей,,Готовая продукция,,804.00000000,ППР-150.04.00.000 Установка электрооборудования,132,133,1,,2025-07-10 11:17:58.107 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00023859,"",""
ППР-150.04.00.200А Кабель,,Готовая продукция,,1388.50000000,ППР-150.04.00.000 Установка электрооборудования,134,135,1,,2025-10-09 09:14:30.356 +0300,,,,,шт,,,,,,,,,,,,,"00-00183471","6000u","2000068450081"
ППТ-042.11.020 Жгут А,,Готовая продукция,,,,155,156,0,,2025-10-29 11:34:04.262 +0300,,,,,,,,,,,,,,,,,,,,
Адаптер 7807492 (NW10-NW8.5-NW7.5),,,,,,15,16,0,,2025-10-29 10:30:28.884 +0300,,,,,,,,,,,,,,,,,,,,
Контакт гнездовой 1062-16-0644,,,,,,85,86,0,,2025-10-29 15:39:20.381 +0300,,,,,,,,,,,,,,,,,,,,
Контакт штыревой 1060-16-0144,,,,,,95,96,0,,2025-10-29 15:10:39.206 +0300,,,,,,,,,,,,,,,,,,,,
ППР-150.04.00.030Б Кабель с датчиками,,Готовая продукция,,3276.00000000,ППР-150.04.00.000 Установка электрооборудования,130,131,1,,2025-10-05 22:04:53.141 +0300,,,,,шт,,,,,,,,,,,,,"00-00183470","6000n",""
ППР-150.04.00.090Б Кабель к пульту,,Готовая продукция,,1316.00000000,ППР-150.04.00.000 Установка электрооборудования,136,137,1,,2025-07-10 11:17:57.941 +0300,,,,,шт,,,,,,,,,,,,,"00-00297337","",""
"ППР-150.04.00.320А Кабель ""Розетка-колодка штыревая""",,Готовая продукция,,720.00000000,ППР-150.04.00.000 Установка электрооборудования,138,139,1,,2025-07-10 11:17:58.066 +0300,,,,,шт,,,,,,,,,,,,,КЛ-00023634,"",""
