"id","operation_id","item_id","quantity","quantity_fixed","transferbatch","type","effective_start","effective_end","name","priority","search","source","lastmodified","offset","location_id"
6,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 1,0-Б ТУ 16.К05-015-2002",-20.69000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,1,,,2025-07-14 16:11:52.642 +0300,,
10,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 1,0-Ч ТУ 16.К05-015-2002",-20.54000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,2,,,2025-07-21 19:16:07.828 +0300,,
3,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 0,75-Б ТУ 16.К05-015-2002",-6.25000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,3,,,2025-07-21 19:16:32.347 +0300,,
5,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 0,75-Ч ТУ 16.К05-015-2002",-6.85000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,4,,,2025-07-21 19:16:32.402 +0300,,
4,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 0,75-К ТУ 16.К05-015-2002",-3.60000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,5,,,2025-07-21 19:17:09.300 +0300,,
7,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 1,0 Ж ТУ 16.К05-015-2002",-22.29000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,6,,,2025-07-21 19:17:09.360 +0300,,
8,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 1,0-З ТУ 16.К05-015-2002",-22.29000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,7,,,2025-07-21 19:17:09.381 +0300,,
9,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Провод ПВАМ – 1,0-К ТУ 16.К05-015-2002",-20.49000000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,8,,,2025-07-21 19:17:09.390 +0300,,
12,ПМА-4000.10.200 Жгут - Нарезка и зачистка,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,-2.72000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,10,,,2025-08-03 20:23:58.695 +0300,,
11,ПМА-4000.10.200 Жгут - Нарезка и зачистка,Трубка гофрированная ДКС 4Р904В,-0.16000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,9,,,2025-08-03 20:24:06.616 +0300,,
13,ПМА-4000.10.200 Жгут - Нарезка и зачистка,Трубка гофрированная 40910В ТУ 2247-002-47022248-2008,-20.76000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,11,,,2025-08-03 20:24:52.700 +0300,,
14,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",-0.28000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,12,,,2025-08-03 20:25:36.094 +0300,,
15,ПМА-4000.10.200 Жгут - Нарезка и зачистка,"Трубка термоусадочная ТТК-(4:1)-16/4, черная (КВТ) ТУ 2247-021-97284872-2006",-0.03000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,13,,,2025-08-03 20:26:11.943 +0300,,
16,ПМА-4000.10.200 Жгут - Нарезка и зачистка,Трубка термоусадочная ТУТ-12/6 желтая (КВТ) ТУ 2247-011-79523310-2006,-0.01000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,14,,,2025-08-03 20:26:51.197 +0300,,
17,ПМА-4000.10.200 Жгут - Нарезка и зачистка,Трубка термоусадочная ТУТ-12/6 зеленая (КВТ) ТУ 2247-011-79523310-2006,-0.01000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,15,,,2025-08-03 20:27:14.424 +0300,,
18,ПМА-4000.10.200 Жгут - Обжим контактов,Контакт  - гнездо – 282110-1,-12.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-08-03 20:29:24.234 +0300,,
19,ПМА-4000.10.200 Жгут - Обжим контактов,Уплотнитель провода 281934-2,-12.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,2,,,2025-08-03 20:29:45.724 +0300,,
20,ПМА-4000.10.200 Жгут - Пайка,Флюс ЛТИ-120,-0.00500000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-08-03 20:31:18.839 +0300,,
21,ПМА-4000.10.200 Жгут - Пайка,Припой Прв КР3 ПОС 61 ГОСТ 21931-76,-0.02000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,2,,,2025-08-03 20:31:54.246 +0300,,
22,ПМА-4000.10.200 Жгут - Сборка,"Трубка термоусадочная ТТК-(4:1)-6/1,5, черная (КВТ) ТУ 2247-021-97284872-2006",-0.28000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-08-03 20:39:02.962 +0300,,
23,ПМА-4000.10.200 Жгут - Сборка,"Трубка термоусадочная ТТК-(4:1)-16/4, черная (КВТ) ТУ 2247-021-97284872-2006",-0.03000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,2,,,2025-08-03 20:39:03.003 +0300,,
24,ПМА-4000.10.200 Жгут - Сборка,Трубка термоусадочная ТУТ-12/6 желтая (КВТ) ТУ 2247-011-79523310-2006,-0.01000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,3,,,2025-08-03 20:39:03.025 +0300,,
25,ПМА-4000.10.200 Жгут - Сборка,Трубка термоусадочная ТУТ-12/6 зеленая (КВТ) ТУ 2247-011-79523310-2006,-0.01000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,4,,,2025-08-03 20:39:03.034 +0300,,
26,ПМА-4000.10.200 Жгут - Сборка,Адаптер 7807192 (NW4.5),-2.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,5,,,2025-08-03 20:39:03.078 +0300,,
27,ПМА-4000.10.200 Жгут - Сборка,Адаптер 7807492,-2.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,6,,,2025-08-03 20:39:03.097 +0300,,
28,ПМА-4000.10.200 Жгут - Сборка,Корпус разъёма гнездовой 2 конт. 282080-1,-2.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,7,,,2025-08-03 20:39:03.114 +0300,,
29,ПМА-4000.10.200 Жгут - Сборка,Колодка гнездовая SS 282088-1,-2.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,8,,,2025-08-03 20:39:03.132 +0300,,
30,ПМА-4000.10.200 Жгут - Сборка,Разветвитель 9806168,-2.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,9,,,2025-08-03 20:39:03.149 +0300,,
31,ПМА-4000.10.200 Жгут - Сборка,Разветвитель 9806180,-1.00000000,,,,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,10,,,2025-08-03 20:39:03.166 +0300,,
2,ПМА 4000.10.030 Жгут фонарей - Пайка,Припой Прв КР3 ПОС 61 ГОСТ 21931-76,-0.00200000,,,start,1971-01-01 02:00:00.000 +0300,2030-12-31 02:00:00.000 +0300,,1,,,2025-10-17 11:07:37.476 +0300,,
63,ПМА 4000.10.030 Жгут фонарей - Печать этикеток,Этикетка 100х100 для печати,-1.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:11:46.733 +0300,,
60,ОП-3200-24.01.11.210В Жгут А - Пайка,Флюс ЛТИ-120,-0.00500000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:07:08.536 +0300,,
33,ОП-3200-24.01.11.210В Жгут А - Сборка,Адаптер 7807492,-2.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:02:13.657 +0300,,
34,ОП-3200-24.01.11.210В Жгут А - Сборка,Вилка ПС 300А3 ГОСТ 9200-76,-1.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:02:31.999 +0300,,
35,ОП-3200-24.01.11.210В Жгут А - Сборка,Адаптер 7807128 (NW7.5),-3.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:02:37.213 +0300,,
41,ОП-3200-24.01.11.210В Жгут А - Сборка,Разветвитель 9806111,-3.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:02:53.342 +0300,,
65,ППР-150.04.00.090В Кабель к пульту - Нарезка зачистка,"Провод ПВАМ-1,0-Кч ТУ 16.К05-015-2002",-4.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-28 14:40:02.843 +0300,,
68,ППР-150.04.00.090В Кабель к пульту - Нарезка зачистка,Трубка гибкая гофрированная 4Р907В  ТУ 2247-002-47022248-2006,-4.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-28 14:47:13.799 +0300,,
71,ППР-150.04.00.200Б Кабель - Нарезка зачистка,"Провод ПВАМ-1,0-Кч ТУ 16.К05-015-2002",-2.40000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-28 15:40:27.398 +0300,,
62,ПМА-4000.10.200 Жгут - Печать этикеток,Этикетка 100х100 для печати,-1.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:10:18.876 +0300,,
56,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,"Трубка термоусадочная ТТК-(4:1)-8/2, черная (КВТ) ТУ 2247-021-97284872-2006",-0.20000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:48:27.968 +0300,,
57,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,Трубка термоусадочная ТТК-(3:1)-30/10 черная (КВТ) ТУ 2247-021-97284872-2006,-0.04000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:51:31.433 +0300,,
58,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,Трубка термоусадочная ТУТ-12/6 желтая (КВТ) ТУ 2247-011-79523310-2006,-0.02000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:54:10.171 +0300,,
59,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,Трубка термоусадочная ТУТ-12/6 зеленая (КВТ) ТУ 2247-011-79523310-2006,-0.03000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:54:45.697 +0300,,
51,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,"Провод ПВАМ-1,5-Г ТУ 16.К05-015-2002",-2.60000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:40:57.073 +0300,,
52,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,"Провод ПВАМ-2,5-Б ТУ 16.К05-015-2002",-5.30000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:43:41.241 +0300,,
53,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,"Провод ПВАМ-2,5-Г ТУ 16.К05-015-2002",-5.60000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:44:47.370 +0300,,
54,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,Трубка гофрированная 40907В ТУ 2247-002-47022248-2008,-5.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:46:31.544 +0300,,
55,ОП-3200-24.01.11.210В Жгут А - Нарезка и зачистка,Трубка гофрированная 40910В ТУ 2247-002-47022248-2008,-9.10000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:47:06.552 +0300,,
44,ОП-3200-24.01.11.210В Жгут А - Обжим контактов,Уплотнитель провода 281934-3,-2.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-10 15:25:38.127 +0300,,
61,ОП-3200-24.01.11.210В Жгут А - Пайка,Припой Прв КР3 ПОС 61 ГОСТ 21931-76,-0.00200000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:07:53.923 +0300,,
64,ОП-3200-24.01.11.210В Жгут А - Печать этикеток,Этикетка 100х100 для печати,-1.00000000,,,start,1971-01-01 00:00:00.000 +0300,2030-12-31 00:00:00.000 +0300,,1,,,2025-10-17 11:12:53.002 +0300,,
