"id","source","lastmodified","date","manufacturing_order_id","serial_number","product_qrcode_id","status","firmware","last_maintenance","last_maintenance_date","part_name","sertificate","sertificate_validto","service_manual","specification","url","user_manual","label_path"
299,,2025-10-23 19:51:39.418 +0300,2025-10-23 19:51:39.418 +0300,Октябрь 2025,2,B0003,создан,,,,,,,,,,,
300,,2025-10-23 19:51:39.432 +0300,2025-10-23 19:51:39.432 +0300,Октябрь 2025,3,B0004,создан,,,,,,,,,,,
301,,2025-10-23 19:51:39.459 +0300,2025-10-23 19:51:39.460 +0300,Октябрь 2025,4,B0005,создан,,,,,,,,,,,
302,,2025-10-23 19:51:39.473 +0300,2025-10-23 19:51:39.474 +0300,Октябрь 2025,5,B0006,создан,,,,,,,,,,,
303,,2025-10-23 19:51:39.489 +0300,2025-10-23 19:51:39.489 +0300,Октябрь 2025,6,B0007,создан,,,,,,,,,,,
304,,2025-10-23 19:51:39.503 +0300,2025-10-23 19:51:39.503 +0300,Октябрь 2025,7,B0008,создан,,,,,,,,,,,
305,,2025-10-23 19:51:39.518 +0300,2025-10-23 19:51:39.518 +0300,Октябрь 2025,8,B0009,создан,,,,,,,,,,,
306,,2025-10-23 19:51:39.531 +0300,2025-10-23 19:51:39.532 +0300,Октябрь 2025,9,B000A,создан,,,,,,,,,,,
307,,2025-10-26 22:41:11.986 +0300,2025-10-26 22:41:11.992 +0300,Новый заказ,10,B000B,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
308,,2025-10-26 22:41:12.022 +0300,2025-10-26 22:41:12.027 +0300,Новый заказ,11,B000C,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
309,,2025-10-26 22:41:12.056 +0300,2025-10-26 22:41:12.060 +0300,Новый заказ,12,B000D,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
310,,2025-10-26 22:41:12.089 +0300,2025-10-26 22:41:12.094 +0300,Новый заказ,13,B000E,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
311,,2025-10-26 22:41:12.122 +0300,2025-10-26 22:41:12.127 +0300,Новый заказ,14,B000F,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
312,,2025-10-26 22:41:12.156 +0300,2025-10-26 22:41:12.160 +0300,Новый заказ,15,B000G,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
313,,2025-10-26 22:41:12.188 +0300,2025-10-26 22:41:12.194 +0300,Новый заказ,16,B000H,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
314,,2025-10-26 22:41:12.221 +0300,2025-10-26 22:41:12.226 +0300,Новый заказ,17,B000I,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
315,,2025-10-26 22:41:12.254 +0300,2025-10-26 22:41:12.260 +0300,Новый заказ,18,B000J,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
316,,2025-10-26 22:41:12.289 +0300,2025-10-26 22:41:12.294 +0300,Новый заказ,19,B000K,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
317,,2025-10-26 22:41:12.322 +0300,2025-10-26 22:41:12.327 +0300,Новый заказ,20,B000L,Создан,,,,,,,,,,,svg/Готовый_жгут.svg
298,,2025-10-26 23:23:11.162 +0300,2025-10-26 23:23:11.173 +0300,Октябрь 2025,1,B0002,создан,,,,,,,,,,,svg/Готовый_жгут.svg
297,,2025-10-26 23:25:35.138 +0300,2025-10-26 23:25:35.150 +0300,Октябрь 2025,0,B0001,Закрыт,,,,,,,,,,,svg/Готовый_жгут.svg
319,,2025-10-29 21:06:11.401 +0300,2025-10-29 21:06:11.406 +0300,Заказ ПМА ноябрь 2025,1,B000N,Создан,,,,,,,,,,,svg/Готовый_жгут_2.svg
320,,2025-10-29 21:06:11.441 +0300,2025-10-29 21:06:11.446 +0300,Заказ ПМА ноябрь 2025,2,B000O,Создан,,,,,,,,,,,svg/Готовый_жгут_2.svg
321,,2025-10-29 21:06:11.482 +0300,2025-10-29 21:06:11.487 +0300,Заказ ПМА ноябрь 2025,3,B000P,Создан,,,,,,,,,,,svg/Готовый_жгут_2.svg
322,,2025-10-29 21:06:11.521 +0300,2025-10-29 21:06:11.528 +0300,Заказ ПМА ноябрь 2025,4,B000Q,Создан,,,,,,,,,,,svg/Готовый_жгут_2.svg
318,,2025-10-30 10:36:17.528 +0300,2025-10-30 10:36:17.533 +0300,Заказ ПМА ноябрь 2025,0,B000M,Закрыт,,,,,,,,,,,svg/Готовый_жгут.svg
