"item_ptr_id","image","image_height","image_width","short_name","imagef","imagef_height","imagef_width","erp_code","qr_id","barcode_id","barcode_number","passport_label_template_id","opposite_item_id"
Вилка ПС300А3-150 ГОСТ 9200-76,img/ПС-300А3-150_Z4q68Ni.png,800,800,ПС-300А3-150,"",,,"00-00071053","6000W",,,,
ППР-150.04.00.030Б Кабель с датчиками,,1123,794,,,1123,794,"00-00183470",,,,,
Разветвитель 9806082,img/9806082.png,800,800,"9806082","",,,КЛ-00023987,,,,,
Вилка ПС300А3 ГОСТ 9200-76,img/ПС-300_fcgYi15.png,600,600,ПС-300А3,img/ПС-300_F.png,600,600,"00-00086002","6000X",,,,Розетка ПС-300А3-100 ГОСТ 9200-76
Трубка гофрированная 40910В ТУ 2247-002-47022248-2008,,1123,794,"4О910В",,1123,794,"00-00286993","60013",,,,
Гнездо 202212 ОСТ 37.003.032-88,img/202212.png,200,400,"202212",img/202212_F.png,200,400,"00-00041099","60005",,,,
Гнездо 202613 ОСТ 37.003.032-88,img/202613.png,200,400,"202613",img/202613_F.png,200,400,"00-00152693","6000H",,,,
Адаптер 7807490,img/7807490.png,500,500,"7807490","",,,КЛ-00023931,"60002",,,,
Гнездо 203613 ОСТ 37.003.032-88,img/203613.png,450,900,"203613",img/203613_F.png,450,900,"00-00133232","6000K",,,,
Гнездо 203612 ОСТ 37.003.032-88,img/203612.png,900,900,"203612",img/203612_F.png,450,900,"00-00150338","6000J",,,,
Гнездо 282110-1,img/282110-1.png,250,500,"282110-1",img/282110-1_F.png,400,800,"00-00001811","6000L",,,,
Колодка гнездовая 602606 ОСТ 37.003.032-88,img/602606.png,400,400,"602606",img/602606_F.png,400,400,"00-00133239","6000N",,,,
Штырь 102612 ОСТ 37.003.032-88,,,,"102612","",,,"00-00041101","60017",,,,
Колодка гнездовая SS 282088-1,img/282088-1.png,400,400,"282088-1",img/282088-1_F.png,400,400,"00-00152703","6000O",,,,
Колодка штыревая 502606 ОСТ 37.003.032-88,img/502606.png,400,400,"502606",img/502606_F.png,400,400,"00-00133234","6000P",,,,
Контакт 282110-1,img/282110-1.png,250,500,"282110-1",img/282110-1_F.png,250,500,"00-00213785","6000S",,,,
МД-800.10.040Б Жгут,,1123,794,,,1123,794,КЛ-00023883,,"2000068450043","2000068450043",,
Корпус разъёма гнездовой 5 кон. 282089-1,img/282089-1.png,946,946,"282089-1","",,,"00-00001812","6000U",,,,
Корпус разъёма штырьевой 5 кон. 282107-1,img/282107-1.png,275,275,"282107-1","",,,"00-00001808","6000V",,,,
Разветвитель 9806138,img/9806138.png,800,800,"9806138","",,,"00-00207775",,,,,
БВ-061.10.030А Жгут,,1123,794,,,1123,794,КЛ-00022946,"60006","2000068450074","2000001648827",1,
Контакт  - гнездо – 282110-1,img/282110-1.png,250,500,"282110-1",img/282110-1_F.png,250,500,"00-00118096","6000R",,,,
ПМА-4000.10.200 Жгут,,1123,794,,,1123,794,КЛ-00022960,,,"2000068450067",,
Адаптер PA66 AMP4-SS 7807039,img/7807039.png,500,500,"7807039","",,,КЛ-00024201,"6000F",,,,
ДХ-1080.10.010А Жгут,,1123,794,,,1123,794,КЛ-00022971,,"2000068450098","2000068450098",,
Разветвитель 9806133,img/9806133.jpg,800,800,"9806133","",,,КЛ-00023986,,,,,
ППР-150.04.00.090Б Кабель к пульту,,,,,"",,,"00-00297337",,,,,
Припой Прв КР3 ПОС 61 ГОСТ 21931-76,"",,,,"",,,"00-00133274","60021",,,,
ППР-150.04.00.340В Кабель фонарей,,,,,"",,,КЛ-00023859,,,,,
"Провод ПВА-1,0-К ГОСТ 9751-77",,,,"ПВА:1,0-К","",,,"00-00133245",,,,,
Провод ПВА-1.0-Б ГОСТ 9751-77,,,,"ПВА:1,0-Б","",,,"00-00133246",,,,,
Провод ПВА-1.0-Ж ГОСТ 9751-77,,,,"ПВА:1,0-Ж","",,,"00-00133247",,,,,
Провод ПВА-1.0-З ГОСТ 9751-77,,,,"ПВА:1,0-З","",,,"00-00133248",,,,,
Провод ПВА-1.0-Ч ГОСТ 9751-77,,,,"ПВА:1,0-Ч","",,,"00-00133249",,,,,
"Провод ПВАМ – 0,75-З ТУ 16.К05-015-2002",,,,"ПВАМ:0,75-З","",,,КЛ-00023942,"60009",,,,
"Провод ПВАМ – 1,0-Б ТУ 16.К05-015-2002",,,,"ПВАМ:1,0-Б","",,,"00-00060822","6000C",,,,
